conv_id	condition	avg_length_char	avg_length_words
o9UbVjHVrS	active	93.89333333333333	16.30666666666667	
rEG2v4CE7m	active	49.622950819672134	9.344262295081966	
XYjHSL2Ky3	active	72.421875	13.125	
8nJXjVjBTQ	active	71.79545454545455	13.431818181818182	
5ed91d3f31d9c60a8ac27018	active	125.69354838709677	22.758064516129032	
612517df29cd32c6632b4a44	active	83.09183673469387	15.5	
57272517e386b9000e3e2b72	active	68.76190476190476	12.333333333333334	
5e45a7e926e79c000bc12a85	active	98.43373493975903	18.14457831325301	
j6iz4akqr2	active	67.09433962264151	12.358490566037736	
ozf8rdojjw	active	83.17460317460318	15.031746031746032	
5ea196f089935b04d2ee69d9	active	99.828125	18.109375	
v684ge8cmo	active	81.55357142857143	14.857142857142858	
eiRY3df7Aq	active	63.07964601769911	11.68141592920354	
ABFwuoU	active	101.17283950617283	18.246913580246915	
rfAHhxd	active	73.72131147540983	13.39344262295082	
INfBowH	active	72.90789473684211	13.513157894736842	
cegcgsG	active	77.75510204081633	13.826530612244898	
tLrorpH	active	111.38383838383838	20.07070707070707	
1vNO49Y	active	64.63157894736842	11.947368421052632	
ea5def48	active	84.08888888888889	15.6	
c70f521	active	62.345454545454544	11.618181818181819	
4f7f5758	active	72.02380952380952	13.595238095238095	
a9780bf6	active	96.5	17.743243243243242	
2424a396	active	49.212765957446805	9.23404255319149	
bKBDfgUAa3	passive	46.08695652173913	8.26086956521739	
tcYis3RLgY	passive	61.125	10.921875	
h8x8QLzyCx	passive	95.5	17.4	
coe2XtNapn	passive	115.48571428571428	20.114285714285714	
mmhHDA6eue	passive	66.32	12.16	
5c8d1bee1bb19f00019d519e	passive	42.05555555555556	7.805555555555555	
55b3120cfdf99b6ef6263a71	passive	107.06666666666666	20.11111111111111	
qk8kmns74p	passive	53.6551724137931	10.068965517241379	
5fdbb3b4e66d7f061f78ea21	passive	55.535714285714285	10.285714285714286	
60c48655811ab33a8f77dd34	passive	68.2280701754386	13.070175438596491	
608b0f7f4699c09aa348c57f	passive	94.66666666666667	17.59259259259259	
577c065c9fecfe0001a5bcc7	passive	25.2972972972973	5.135135135135135	
LFiNVaQ	passive	65.52173913043478	11.826086956521738	
PPmiUbC	passive	105.975	19.2	
xMKcudn	passive	49.833333333333336	9.433333333333334	
EioCaKa	passive	53.64705882352941	10.490196078431373	
KlOmIXe	passive	98.92592592592592	16.85185185185185	
Fxikuau	passive	70.8076923076923	13.692307692307692	
nRHLDUQ	passive	72.61904761904762	13.5	
sVzhG	passive	139.80769230769232	25.153846153846153	
pC0jYVl	passive	56.75	10.71875	
2b71cb60	passive	55.333333333333336	10.694444444444445	
68942e2a	passive	77.69811320754717	14.88679245283019	
7460a2a0	passive	74.70175438596492	14.052631578947368	
